Fecha,AAPL,SPY,EWZ,CEPU,IBM,Tipo_Cambio_ARSUSD,TNA_PlazoFijo,Tasa_PlazoFijo_Diaria,Retorno_AAPL,Retorno_SPY,Retorno_EWZ,Retorno_CEPU,Retorno_IBM,IBM_USD_Original,TOTAL_CARTERA,Retorno_TOTAL_CARTERA
2025-01-23,13225.0,36074.93,14325.0,1670,5517.589680260831,1187.5,29.98,0.0008213698630136987,-0.003766478342749568,-0.002074692814066359,-0.01036269430051817,-0.03746397694524495,0.011685062761083609,221.5616760253906,22164.87276026957,-0.003341620134515111
2025-01-24,13000.0,35524.93,14225.0,1620,5398.138726079014,1168.2,30.97,0.0008484931506849315,-0.01701323251417775,-0.01524604482947023,-0.006980802792321161,-0.02994011976047906,-0.021649118746388973,220.3462677001953,21839.70677083812,-0.014670329622388345
2025-01-27,13525.0,34974.93,14450.0,1550,5406.467832282959,1173.5,29.46,0.000807123287671233,0.04038461538461546,-0.01548208539749407,0.01581722319859402,-0.04320987654320985,0.0015429589024278378,219.6895446777344,21785.2133846472,-0.0024951519158528113
2025-01-28,14050.0,35574.93,14575.0,1560,5454.970770772116,1176.0,31.42,0.0008608219178082192,0.03881700554528655,0.01715514512823901,0.00865051903114189,0.006451612903225712,0.008971280324565845,221.1892242431641,22211.800991095966,0.019581520681794196
2025-01-29,14025.0,35499.93,14575.0,1660,5540.394838290331,1178.9,30.28,0.0008295890410958904,-0.001779359430605032,-0.002108226214359354,0.0,0.0641025641025641,0.01565985797319369,224.1003875732422,22183.12604691939,-0.0012909778990037868
2025-01-30,14150.0,35699.93,15050.0,1720,6258.6609057980395,1178.9,31.2,0.0008547945205479452,0.00891265597147961,0.005633813925830289,0.032590051457976,0.03614457831325302,0.12964167509212277,253.1531372070312,22435.055291387685,0.011356796329581309
2025-01-31,13800.0,35649.93,15050.0,1715,6259.980751918441,1191.0,28.72,0.0007868493150684932,-0.02473498233215543,-0.001400562970291563,0.0,-0.002906976744186052,0.00021088314901018812,250.6340637207031,22318.48741861158,-0.00519579164223638
2025-02-03,13586.94,35699.93,15125.0,1680,6388.484083205416,1192.0,26.99,0.0007394520547945205,-0.01543913043478262,0.001402527298089984,0.004983388704318914,-0.02040816326530615,0.020527751822175144,255.5644378662109,22301.3516130703,-0.0007677852544341057
2025-02-04,13861.68,36049.93,15275.0,1735,6508.145089722293,1197.2,28.45,0.0007794520547945205,0.02022088858860061,0.009803940792040722,0.009917355371900749,0.03273809523809534,0.018730735642192853,259.2205200195312,22563.96575720143,0.011775705288517901
2025-02-05,13886.66,36274.93,15325.0,1700,6520.731722255087,1204.8,28.51,0.0007810958904109589,0.001802090367112763,0.00624134360316364,0.003273322422258529,-0.02017291066282423,0.0019339815506989044,258.08349609375,22675.425316740766,0.004939714974694365
2025-02-06,13911.63,36224.93,15425.0,1680,6240.077395877771,1197.8,28.48,0.0007802739726027397,0.001798128563671897,-0.001378362411726175,0.006525285481239873,-0.0117647058823529,-0.04304031178271761,248.4188385009766,22663.303590314594,-0.0005345754823492532
2025-02-07,13711.82,36124.93,15200.0,1620,6277.312718531281,1210.2,27.0,0.0007397260273972603,-0.01436280292100922,-0.002760529834012093,-0.01458670988654787,-0.0357142857142857,0.0059671251318305085,247.3406372070312,22522.295210509248,-0.006221881079403024
2025-02-10,13575.0,36049.93,15275.0,1595,6159.725468225417,1194.2,27.2,0.0007452054794520548,-0.009978252339951976,-0.002076128590422166,0.004934210526315708,-0.01543209876543206,-0.018732100116461314,245.9592437744141,22459.41751073625,-0.002791798046571148
2025-02-11,13900.0,36124.93,15325.0,1510,6289.689811998655,1193.4,28.13,0.0007706849315068493,0.02394106813996322,0.002080447867721213,0.003273322422258529,-0.05329153605015668,0.021099048073433213,251.3171081542969,22591.44137614644,0.005878329896448875
2025-02-12,14125.0,36024.93,15200.0,1545,6334.569282013378,1196.7,27.2,0.0007452054794520548,0.01618705035971213,-0.002768171453896295,-0.00815660685154973,0.02317880794701987,0.007135402755332532,252.4123840332031,22590.31968483917,-4.965116163202499e-05
2025-02-13,14500.0,36399.93,15200.0,1580,6442.938867415239,1201.3,27.16,0.0007441095890410959,0.02654867256637172,0.01040945811692073,0.0,0.02265372168284796,0.01710764861465308,255.7474975585938,22860.72623844085,0.01197001890075744
2025-02-14,14650.0,36599.93,15825.0,1620,6474.887396264735,1197.6,27.56,0.0007550684931506849,0.01034482758620681,0.005494516060882582,0.04111842105263164,0.02531645569620244,0.004958688807536804,257.8097229003906,23109.4274674812,0.01087897324198539
2025-02-17,14850.0,37249.93,16250.0,1500,6474.887396264735,1197.6,27.86,0.0007632876712328767,0.01365187713310578,0.01775959680797201,0.02685624012638232,-0.07407407407407407,0.0,257.8097229003906,23516.125787189965,0.017598805521299
2025-02-18,14725.0,36974.93,16025.0,1625,6593.823588295564,1211.3,28.13,0.0007706849315068493,-0.008417508417508435,-0.007382564208845532,-0.01384615384615384,0.08333333333333326,0.01836884330983768,259.5759582519531,23335.20276673239,-0.007693572576318308
2025-02-19,14825.0,37199.93,15775.0,1610,6676.020693605913,1220.6,27.03,0.0007405479452054795,0.00679117147707986,0.006085204218101214,-0.01560062402496099,-0.009230769230769265,0.012465772583945656,260.8093566894531,23415.155535395847,0.0034262727203484555
2025-02-20,14925.0,37074.93,15900.0,1600,6659.785248854378,1215.7,27.46,0.0007523287671232877,0.006745362563237878,-0.003360221376760619,0.007923930269413626,-0.006211180124223614,-0.002431904497702586,261.2237548828125,23410.855447550988,-0.00018364549568583577
2025-02-21,14975.0,36549.93,15500.0,1570,6575.072187493,1215.2,27.32,0.0007484931506849315,0.003350083752093891,-0.01416051223832382,-0.02515723270440251,-0.01875000000000004,-0.012720089041302174,258.007080078125,23117.242159384743,-0.012541758195211972
2025-02-24,15025.0,36449.93,15300.0,1575,6584.878361859043,1215.2,27.23,0.000746027397260274,0.003338898163605997,-0.002735983352088467,-0.01290322580645165,0.003184713375796289,0.0014914169892608076,258.3918762207031,23050.88083864855,-0.0028706417607540224
2025-02-25,15075.0,36124.93,15400.0,1495,6466.34470742901,1212.4,27.95,0.0007657534246575343,0.003327787021630613,-0.00891634085442683,0.006535947712418277,-0.05079365079365084,-0.018000887475250082,254.3265991210938,22932.999078143483,-0.005113980733760903
2025-02-26,14575.0,36074.93,15225.0,1465,6476.131795236409,1223.3,26.84,0.0007353424657534247,-0.03316749585406298,-0.001384085726948148,-0.01136363636363635,-0.02006688963210701,0.001513542542227242,252.4419708251953,22741.697545234136,-0.008341758191220072
2025-02-27,14600.0,35924.93,15100.0,1430,6394.868425346011,1220.4,27.3,0.0007479452054794521,0.001715265866209181,-0.004158012226219143,-0.008210180623973717,-0.02389078498293518,-0.012548134049738202,249.8666381835938,22654.098481724694,-0.0038519140154424925
2025-02-28,14600.0,36074.93,14725.0,1410,6383.276514105862,1222.0,27.74,0.0007599999999999999,0.0,0.004175373480198807,-0.02483443708609268,-0.01398601398601396,-0.0018126895612432525,249.0871429443359,22645.73998557246,-0.0003689617646438492
2025-03-05,14575.0,36049.93,15200.0,1500,6414.486772612985,1233.3,26.65,0.0007301369863013698,-0.001712328767123239,-0.000693002037703172,0.032258064516129,0.06382978723404253,0.004889379057628762,248.0116271972656,22724.8709580244,0.0034942983758690094
2025-03-06,14525.0,35449.93,15200.0,1500,6388.285443119948,1241.4,28.11,0.0007701369863013698,-0.003430531732418474,-0.01664358294176993,0.0,0.0,-0.0040847117504249075,245.3869323730469,22452.512184238567,-0.011985052601130808
